timestamp,chunk_index,chunk_capacity,fill_time_s,avg_fill_ratio,mem_pressure
1761004203642,57,5000,0.00673881,698378,0.290263
1761004203649,58,5000,0.00728976,697067,0.290263
1761004203657,59,5000,0.00788016,694063,0.290263
1761004203664,60,5000,0.00681269,709413,0.290263
1761004203672,61,5000,0.00733158,699711,0.290263
1761004203680,62,5000,0.0086228,682413,0.290263
1761004203688,63,5000,0.00692655,682795,0.290263
1761004203694,64,5000,0.00587164,703943,0.290263
1761004203700,65,5000,0.00599633,715427,0.290263
1761004203706,66,5000,0.00590894,735462,0.290295
1761004203714,67,5000,0.00753523,739093,0.290484
1761004203722,68,5000,0.00790025,726464,0.290484
1761004203729,69,5000,0.00712422,728945,0.29028
1761004203735,70,5000,0.00588102,762737,0.29028
1761004203744,71,5000,0.0079538,751083,0.29028
1761004203751,72,5000,0.00707463,732983,0.29028
1761004203757,73,5000,0.00646092,725488,0.29028
1761004203765,74,5000,0.00780634,699779,0.29028
1761004203772,75,5000,0.00622119,717299,0.29028
1761004203777,76,5000,0.00552144,751382,0.29028
1761004203783,77,5000,0.00591513,769315,0.29028
1761004203789,78,5000,0.00530451,780865,0.29028
1761004203793,79,5000,0.00456417,839222,0.29028
1761004203799,80,5000,0.00583753,857944,0.29028
1761004203805,81,5000,0.00540674,876805,0.29028
1761004203811,82,5000,0.00600262,900863,0.29028
1761004203817,83,5000,0.00620133,901185,0.29028
1761004203823,84,5000,0.00565426,898526,0.29028
1761004203829,85,5000,0.00536718,909313,0.29028
1761004203835,86,5000,0.00656102,886749,0.29028
1761004203842,87,5000,0.00632431,848637,0.29028
1761004203850,88,5000,0.00753456,824523,0.29028
1761004203856,89,5000,0.00642783,806160,0.29028
1761004203863,90,5000,0.00609719,804545,0.29028
1761004203870,91,5000,0.00709238,791883,0.290263
1761004203876,92,5000,0.00618488,782399,0.290263
1761004203884,93,5000,0.00721467,752580,0.290263
1761004203892,94,5000,0.00776908,737768,0.290263
1761004203899,95,5000,0.00687168,729896,0.290263
1761004203905,96,5000,0.00609492,749489,0.290263
1761004203912,97,5000,0.0066221,746637,0.290263
1761004203919,98,5000,0.00684431,735447,0.290263
1761004203926,99,5000,0.00669917,740619,0.290263
1761004203933,100,5000,0.00681844,731230,0.290263
1761004203940,101,5000,0.00549606,758318,0.290263
1761004203947,102,5000,0.00661528,772350,0.290263
1761004203955,103,5000,0.00852582,754703,0.290263
1761004203962,104,5000,0.00579698,759974,0.290263
1761004203971,105,5000,0.00939541,732114,0.290263
1761004203978,106,5000,0.00678195,732954,0.290263
1761004203985,107,5000,0.00654199,735196,0.290263
1761004203992,108,5000,0.00715297,730909,0.290263
1761004204000,109,5000,0.00767524,698622,0.290263
1761004204007,110,5000,0.00615986,705607,0.290263
1761004204014,111,5000,0.00724212,718601,0.290263
1761004204020,112,5000,0.00520216,730928,0.290263
1761004204027,113,5000,0.00686425,755458,0.290263
1761004204034,114,5000,0.00646543,759970,0.290263
1761004204039,115,5000,0.00546313,778836,0.290263
1761004204044,116,5000,0.00469618,824547,0.290263
1761004204050,117,5000,0.00605934,846263,0.290263
1761004204055,118,5000,0.00457612,881378,0.290263
1761004204061,119,5000,0.00563252,906040,0.290294
1761004204067,120,5000,0.00580667,893533,0.290294
1761004204072,121,5000,0.0053222,919914,0.290294
1761004204078,122,5000,0.00530223,941120,0.290294
1761004204083,123,5000,0.00483613,955953,0.290294
1761004204088,124,5000,0.00542072,938164,0.290294
1761004254955,0,200,0.000924015,216447,0.289697
1761004254962,1,5000,0.00726397,452388,0.289697
1761004254969,2,5000,0.00631783,565395,0.289697
1761004254976,3,5000,0.0070097,602371,0.289697
1761004254984,4,5000,0.00766218,612408,0.289697
1761004254991,5,5000,0.00760428,619927,0.289697
1761004254998,6,5000,0.00622275,646153,0.289697
1761004255004,7,5000,0.00592616,670848,0.289697
1761004255012,8,5000,0.00788902,723016,0.289697
1761004255020,9,5000,0.00789745,716115,0.289697
1761004255026,10,5000,0.00612254,719270,0.289697
1761004255033,11,5000,0.00610486,732485,0.289697
